genetics_bool,genetic_sd,slot_duration,start_abdominal,timestep,simultaneous_fixation,clutch_m,clutch_sd,noise_sd,n_embryos,smallest_n,total_clutches,chisquare,chi_pvalue,pearsonsR,Rsquared,pear_pvalue
True,5,15,42,2,False,10,6,20,695,5,71,1.68115942029,0.946566506251,0.981896753478,0.964121234491,0.0
True,5,60,42,2,True,10,6,20,864,46,86,5.94214876033,0.429701768992,0.977497766756,0.955501884013,0.0
False,0,120,42,2,False,10,6,20,610,91,64,1.41787941788,0.964761761177,0.976837840526,0.954212166684,0.0
False,0,120,42,2,True,10,6,20,728,74,74,20.5260545906,0.00223107547105,0.974156533758,0.948980952263,0.0
True,10,60,42,2,False,10,6,20,776,43,74,5.17788461538,0.521209078964,0.948127021318,0.898944848552,0.0
True,10,60,42,2,True,10,6,20,841,29,80,25.7634408602,0.000246402081619,0.957935974663,0.917641331553,0.0
False,0,60,42,2,False,10,6,20,789,57,76,2.66666666667,0.849368556151,0.986008722668,0.972213201177,0.0
True,5,60,42,2,False,10,6,20,711,43,66,0.594594594595,0.996489917467,0.977111566559,0.954747013504,0.0
True,10,120,42,2,True,10,6,20,670,16,64,2.15730337079,0.904677687017,0.942073469712,0.887502422335,3.95405677023e-319
False,0,30,42,2,False,10,6,20,762,22,75,2.8275862069,0.830154663642,0.987261622014,0.974685510302,0.0
False,0,15,42,2,False,10,6,20,844,11,79,0.972399150743,0.9866369953,0.987522436642,0.975200562871,0.0
False,0,120,42,2,True,10,6,20,773,83,73,9.70283018868,0.137737278408,0.973540527257,0.947781158212,0.0
True,5,120,42,2,True,10,6,20,697,40,68,45.25,4.17424945217e-08,0.962124368984,0.925683301393,0.0
False,0,60,42,2,False,10,6,20,682,39,70,1.04668304668,0.983780544547,0.984105824058,0.968464272944,0.0
True,10,30,42,2,False,10,6,20,721,19,77,8.84130982368,0.182701353876,0.96829270558,0.937590763679,0.0
False,0,15,42,2,False,10,6,20,623,5,66,1.8,0.937143065702,0.987459644672,0.975076549856,0.0
False,0,30,42,2,False,10,6,20,729,16,74,2.06567164179,0.913560724086,0.986760273505,0.973695837368,0.0
False,0,15,42,2,False,10,6,20,846,10,77,0.623188405797,0.996001211446,0.988846510854,0.977817422029,0.0
False,0,60,42,2,False,10,6,20,721,42,78,1.59375,0.95302567914,0.98496322159,0.970152547885,0.0
False,0,120,42,2,False,10,6,20,671,105,63,4.38461538462,0.624777106353,0.976343243282,0.953246128702,0.0
True,5,15,42,2,False,10,6,20,723,7,67,1.69283276451,0.945673249429,0.983474720428,0.967222525722,0.0
False,0,15,42,2,False,10,6,20,728,4,73,0.223529411765,0.999785976707,0.987379829598,0.974918927897,0.0
True,5,120,42,2,True,10,6,20,704,91,72,13.1191489362,0.0411823915102,0.967884957846,0.936801291624,0.0
True,10,120,42,2,False,10,6,20,700,101,70,6.18882466281,0.402373860524,0.943883568794,0.89091619144,0.0
True,10,120,42,2,False,10,6,20,760,114,67,3.49217391304,0.745010629714,0.943253892083,0.88972790493,0.0
True,5,15,42,2,False,10,6,20,595,6,61,6.648,0.354629371389,0.979971287653,0.960343724625,0.0
False,0,15,42,2,False,10,6,20,847,10,75,1.96650717703,0.922752997576,0.988960881705,0.978043625543,0.0
True,5,15,42,2,False,10,6,20,680,6,66,4.3125,0.634466828115,0.980527713961,0.961434597846,0.0
False,0,60,42,2,False,10,6,20,761,58,85,2.48852459016,0.869749729588,0.982886582086,0.966066033244,0.0
False,0,60,42,2,True,10,6,20,693,23,70,3.38211382114,0.759582099599,0.987550807261,0.975256596923,0.0
True,10,120,42,2,False,10,6,20,659,97,67,7.5,0.277068443366,0.947245617165,0.897274259238,0.0
False,0,60,42,2,True,10,6,20,712,2,65,2.18181818182,0.902240238866,0.9830635529,0.96641394904,0.0
False,0,120,42,2,False,10,6,20,742,105,77,6.69395017794,0.350079890639,0.975245415297,0.951103620057,0.0
True,10,30,42,2,True,10,6,20,742,6,71,17.796875,0.00676037904992,0.953765816003,0.909669231776,0.0
True,10,60,42,2,True,10,6,20,690,18,71,4.8064516129,0.568866174633,0.955653387316,0.913273396688,0.0
False,0,60,42,2,True,10,6,20,709,31,75,6.13793103448,0.407917812999,0.981318875149,0.962986734724,0.0
False,0,120,42,2,True,10,6,20,947,97,83,17.5097276265,0.0075816464415,0.97047731731,0.941826223414,0.0
False,0,120,42,2,False,10,6,20,636,95,67,8.35643564356,0.213135391297,0.973098892004,0.946921453619,0.0
True,5,120,42,2,True,10,6,20,724,80,74,19.9385964912,0.00283995129459,0.951805063961,0.905932879782,0.0
True,10,15,42,2,False,10,6,20,641,4,63,2.55214723926,0.862586516329,0.959141372761,0.919952172942,0.0
False,0,60,42,2,False,10,6,20,612,42,55,2.35746606335,0.884066027892,0.986503019947,0.973188208365,0.0
False,0,120,42,2,True,10,6,20,879,124,90,9.38414634146,0.153098538291,0.97386439137,0.948411852778,0.0
False,0,60,42,2,True,10,6,20,992,26,95,1.0184501845,0.984903221528,0.985174782755,0.970569352576,0.0
True,5,120,42,2,False,10,6,20,589,85,66,3.62162162162,0.727724416949,0.966122984276,0.933393620747,0.0
True,10,15,42,2,False,10,6,20,644,6,61,1.17269076305,0.978212106842,0.964032718138,0.929359081641,0.0
